출판사,대출건수합계,평균대출건수,도서수
문학동네,81708,17.09730069052103,4779
웅진씽크빅,76458,23.766863537457258,3217
김영사,67083,19.500872093023254,3440
시공사,50426,19.224552039649257,2623
위즈덤하우스,43846,17.984413453650532,2438
민음사,41049,13.089604591836734,3136
랜덤하우스코리아,40247,31.56627450980392,1275
자음과모음,35295,24.04291553133515,1468
길벗,32909,22.40231449965963,1469
넥서스,28960,21.709145427286355,1334
창비,28922,10.988601823708207,2632
열린책들,27480,17.972531066056245,1529
황금가지,26389,23.31183745583039,1132
한빛미디어,26374,20.6046875,1280
학지사,25073,13.22415611814346,1896
다산북스,24977,19.242681047765792,1298
살림출판사,22804,15.83611111111111,1440
문학과지성사,22668,11.78783151326053,1923
북이십일 21세기북스,21924,21.68545994065282,1011
비룡소,19854,15.547376664056381,1277
한길사,17652,12.690150970524803,1391
은행나무,17294,19.541242937853106,885
해냄출판사,15724,25.9900826446281,605
청어람,15392,54.97142857142857,280
매경출판,15194,16.47939262472885,922
푸른숲,14784,17.35211267605634,852
들녘,14428,17.1353919239905,842
다락원,14318,21.859541984732825,655
영진닷컴,14274,21.561933534743204,662
대한교과서,13515,22.82939189189189,592
시그마프레스,13473,12.770616113744076,1055
중앙북스,12778,22.30017452006981,573
랜덤하우스중앙,12548,26.251046025104603,478
동아일보사,12223,17.843795620437955,685
청림출판,12184,14.697225572979493,829
안그라픽스,12096,20.261306532663315,597
바다출판사,11896,15.673254281949934,759
현대문학,11680,15.149156939040207,771
한겨레출판,11677,14.257631257631258,819
RHK(알에이치코리아),11475,15.654843110504775,733
미래엔,11412,24.126849894291755,473
현암사,11356,11.166175024582104,1017
창해,11142,20.67161410018553,539
가나출판사,11122,49.651785714285715,224
한스미디어,11018,25.742990654205606,428
문학수첩,10861,16.864906832298136,644
커뮤니케이션북스,10784,7.016265452179571,1537
원앤원북스,10770,25.22248243559719,427
사계절출판사,10686,14.903765690376568,717
한국물가정보,10349,16.1703125,640
책세상,10331,10.716804979253112,964
비채,10257,29.474137931034484,348
열림원,10167,16.24121405750799,626
한울,9775,6.447889182058048,1516
돌베개,9762,12.628719275549805,773
혜지원,9713,22.328735632183907,435
정보문화사,9662,16.74523396880416,577
쌤앤파커스,9573,15.267942583732058,627
삼성출판사,9321,20.088362068965516,464
을유문화사,9129,12.369918699186991,738
길벗이지톡,9001,35.43700787401575,254
소담출판사,8983,25.375706214689266,354
작가정신,8930,15.29109589041096,584
휴머니스트,8748,15.762162162162163,555
동서문화사,8690,18.179916317991633,478
문예출판사,8683,14.792163543441227,587
부키,8593,16.98221343873518,506
서해문집,8561,10.714643304130163,799
한국학술정보,8553,5.493256262042389,1557
솔출판사,8463,13.141304347826088,644
글항아리,8461,10.06064209274673,841
마음산책,8426,16.88577154308617,499
이레미디어,8374,41.66169154228856,201
생각의나무,8352,17.472803347280333,478
디앤씨미디어,8087,60.350746268656714,134
博英社,8022,6.3920318725099605,1255
신원문화사,7656,11.478260869565217,667
위키북스,7651,17.468036529680365,438
신영미디어,7620,55.21739130434783,138
미래의창,7598,13.71480144404332,554
21세기북스,7485,10.601983002832862,706
알에이치코리아,7378,19.780160857908847,373
해냄,7373,20.886685552407933,353
성안당,7327,12.787085514834207,573
나남출판,7223,9.441830065359477,765
학산문화사,7110,24.34931506849315,292
북하우스,7044,20.902077151335313,337
한국경제신문 한경BP,7034,18.959568733153638,371
마로니에북스,7017,22.85667752442997,307
비즈니스북스,7009,19.150273224043715,366
더난출판,6974,23.016501650165015,303
사회평론,6893,17.62915601023018,391
시그마북스,6868,10.159763313609467,676
