발행년도,대출건수합계,평균대출건수,도서수
7500,7,7.0,1
4344,4,4.0,1
4343,7,7.0,1
4341,45,45.0,1
4340,67,33.5,2
4339,13,13.0,1
4338,105,35.0,3
4335,10,10.0,1
4334,1,1.0,1
4333,3,1.5,2
4332,9,9.0,1
4331,27,27.0,1
4330,29,14.5,2
4328,12,4.0,3
4327,3,1.5,2
2554,3,3.0,1
2552,0,0.0,12
2551,0,0.0,5
2550,0,0.0,1
2549,21,5.25,4
2544,3,1.5,2
2543,4,4.0,1
2542,1,1.0,1
2540,0,0.0,1
2537,1,1.0,1
2200,12,12.0,1
2121,1,1.0,1
2110,5,5.0,1
2108,33,33.0,1
2106,30,15.0,2
2104,38,38.0,1
2030,5,5.0,1
2028,6,6.0,1
2025,21842,2.9223976451699225,7474
2024,59301,5.720721589812849,10366
2023,83140,7.178380245208081,11582
2022,86741,7.683674373283727,11289
2021,97360,7.875748260799224,12362
2020,97731,7.72210809102402,12656
2019,110489,7.98850408502639,13831
2018,126014,8.313914363000594,15157
2017,145559,9.562409670214164,15222
2016,167767,9.922931330218253,16907
2015,178218,11.671119842829077,15270
2014,212269,12.214811831050755,17378
2013,230627,13.684625882632172,16853
2012,257622,13.903718495331642,18529
2011,288177,16.600057603686636,17360
2010,295511,17.023503658044817,17359
2009,310214,17.868440758020853,17361
2008,317525,20.214222052457348,15708
2007,275147,18.533409672639095,14846
2006,267989,18.113484285231497,14795
2005,301439,20.465679951116844,14729
2004,271111,18.527369643955442,14633
2003,197933,13.695889842236369,14452
2002,113545,10.24774368231047,11080
2001,83715,8.334826762246117,10044
2000,57131,6.440198399278548,8871
1999,41011,5.860388682480709,6998
1998,26019,4.2466133507426145,6127
1997,31993,4.068803255754801,7863
1996,22270,3.472633712770934,6413
1995,18843,3.2679500520291365,5766
1994,12836,2.831054256726952,4534
1993,9485,2.9921135646687698,3170
1992,2989,2.067081604426003,1446
1991,894,2.180487804878049,410
1990,606,2.187725631768953,277
1989,280,1.5819209039548023,177
1988,125,1.0,125
1987,127,1.351063829787234,94
1986,63,0.65625,96
1985,23,0.42592592592592593,54
1984,79,1.2741935483870968,62
1983,28,0.5714285714285714,49
1982,21,0.6363636363636364,33
1981,35,0.875,40
1980,1,0.03333333333333333,30
1979,14,0.5,28
1978,5,0.29411764705882354,17
1977,5,0.21739130434782608,23
1976,0,0.0,24
1975,0,0.0,56
1974,3,0.057692307692307696,52
1973,29,0.4915254237288136,59
1972,0,0.0,66
1971,0,0.0,45
1970,0,0.0,30
1969,0,0.0,15
1968,0,0.0,5
1967,0,0.0,6
1966,0,0.0,8
1965,0,0.0,7
1964,0,0.0,5
1962,0,0.0,2
1961,0,0.0,4
1960,0,0.0,1
1959,1,0.5,2
1958,0,0.0,1
1957,0,0.0,2
1956,0,0.0,1
1954,6,2.0,3
1952,0,0.0,4
1950,0,0.0,1
1949,6,6.0,1
1948,0,0.0,1
1944,0,0.0,1
1938,0,0.0,1
1930,0,0.0,1
1300,132,8.8,15
1010,15,15.0,1
